subject,slice,filter,psnr,ssim
T1CE_to_SRI_defaced,67,gaussian,32.7435,0.9448
T1CE_to_SRI_defaced,67,mean,33.2546,0.95
T1CE_to_SRI_defaced,67,median,35.4103,0.963
T1CE_to_SRI_defaced,68,gaussian,32.7125,0.9446
T1CE_to_SRI_defaced,68,mean,33.2767,0.9502
T1CE_to_SRI_defaced,68,median,35.6411,0.9641
T1CE_to_SRI_defaced,69,gaussian,32.8796,0.945
T1CE_to_SRI_defaced,69,mean,33.4561,0.9505
T1CE_to_SRI_defaced,69,median,35.917,0.964
T1CE_to_SRI_defaced,70,gaussian,33.1814,0.9484
T1CE_to_SRI_defaced,70,mean,33.8532,0.954
T1CE_to_SRI_defaced,70,median,35.9936,0.9649
T1CE_to_SRI_defaced,71,gaussian,33.3517,0.9489
T1CE_to_SRI_defaced,71,mean,34.1064,0.9547
T1CE_to_SRI_defaced,71,median,36.0576,0.9651
T1CE_to_SRI_defaced,72,gaussian,33.4569,0.9506
T1CE_to_SRI_defaced,72,mean,34.2578,0.9562
T1CE_to_SRI_defaced,72,median,36.1244,0.9653
T1CE_to_SRI_defaced,73,gaussian,33.1723,0.9502
T1CE_to_SRI_defaced,73,mean,34.0063,0.956
T1CE_to_SRI_defaced,73,median,36.1575,0.9658
T1CE_to_SRI_defaced,74,gaussian,33.5798,0.9521
T1CE_to_SRI_defaced,74,mean,34.3964,0.9577
T1CE_to_SRI_defaced,74,median,36.4942,0.9668
T1CE_to_SRI_defaced,75,gaussian,33.3239,0.9505
T1CE_to_SRI_defaced,75,mean,34.1136,0.9563
T1CE_to_SRI_defaced,75,median,36.2761,0.9656
T1CE_to_SRI_defaced,76,gaussian,32.6358,0.9467
T1CE_to_SRI_defaced,76,mean,33.408,0.953
T1CE_to_SRI_defaced,76,median,35.5875,0.964
T1CE_to_SRI_defaced,77,gaussian,32.5549,0.9458
T1CE_to_SRI_defaced,77,mean,33.2995,0.9519
T1CE_to_SRI_defaced,77,median,35.5132,0.9631
T1CE_to_SRI_defaced,78,gaussian,32.3321,0.9449
T1CE_to_SRI_defaced,78,mean,33.0916,0.9512
T1CE_to_SRI_defaced,78,median,35.3703,0.9622
T1CE_to_SRI_defaced,79,gaussian,32.4304,0.9461
T1CE_to_SRI_defaced,79,mean,33.1827,0.9526
T1CE_to_SRI_defaced,79,median,35.421,0.9637
T1CE_to_SRI_defaced,80,gaussian,32.9497,0.9499
T1CE_to_SRI_defaced,80,mean,33.6967,0.9559
T1CE_to_SRI_defaced,80,median,36.2262,0.9673
T1CE_to_SRI_defaced,81,gaussian,32.6086,0.95
T1CE_to_SRI_defaced,81,mean,33.3939,0.9562
T1CE_to_SRI_defaced,81,median,35.8798,0.9668
T1CE_to_SRI_defaced,82,gaussian,32.7449,0.9517
T1CE_to_SRI_defaced,82,mean,33.5399,0.9578
T1CE_to_SRI_defaced,82,median,36.1544,0.9684
T1CE_to_SRI_defaced,83,gaussian,32.6997,0.9526
T1CE_to_SRI_defaced,83,mean,33.5133,0.9588
T1CE_to_SRI_defaced,83,median,36.1989,0.9698
T1CE_to_SRI_defaced,84,gaussian,32.7923,0.9541
T1CE_to_SRI_defaced,84,mean,33.5952,0.9601
T1CE_to_SRI_defaced,84,median,36.2171,0.9704
T1CE_to_SRI_defaced,85,gaussian,32.8186,0.9554
T1CE_to_SRI_defaced,85,mean,33.5821,0.961
T1CE_to_SRI_defaced,85,median,36.1487,0.9715
T1CE_to_SRI_defaced,86,gaussian,32.6847,0.9551
T1CE_to_SRI_defaced,86,mean,33.4028,0.9605
T1CE_to_SRI_defaced,86,median,35.8925,0.9712
T1_to_SRI_defaced,67,gaussian,30.3682,0.9484
T1_to_SRI_defaced,67,mean,30.9011,0.9544
T1_to_SRI_defaced,67,median,32.7631,0.9683
T1_to_SRI_defaced,68,gaussian,30.4036,0.9489
T1_to_SRI_defaced,68,mean,30.9626,0.9551
T1_to_SRI_defaced,68,median,33.0659,0.9696
T1_to_SRI_defaced,69,gaussian,30.5096,0.9502
T1_to_SRI_defaced,69,mean,31.095,0.9566
T1_to_SRI_defaced,69,median,33.5011,0.9716
T1_to_SRI_defaced,70,gaussian,30.4459,0.9527
T1_to_SRI_defaced,70,mean,31.0827,0.9593
T1_to_SRI_defaced,70,median,34.39,0.9749
T1_to_SRI_defaced,71,gaussian,29.8408,0.9527
T1_to_SRI_defaced,71,mean,30.5363,0.9593
T1_to_SRI_defaced,71,median,34.4974,0.975
T1_to_SRI_defaced,72,gaussian,30.5981,0.956
T1_to_SRI_defaced,72,mean,31.5694,0.9625
T1_to_SRI_defaced,72,median,35.1071,0.9762
T1_to_SRI_defaced,73,gaussian,31.1787,0.9572
T1_to_SRI_defaced,73,mean,32.2606,0.9636
T1_to_SRI_defaced,73,median,35.6022,0.9761
T1_to_SRI_defaced,74,gaussian,31.1913,0.9575
T1_to_SRI_defaced,74,mean,32.2749,0.9639
T1_to_SRI_defaced,74,median,35.6367,0.9772
T1_to_SRI_defaced,75,gaussian,31.3721,0.9589
T1_to_SRI_defaced,75,mean,32.4681,0.9653
T1_to_SRI_defaced,75,median,35.8349,0.9782
T1_to_SRI_defaced,76,gaussian,31.4555,0.9594
T1_to_SRI_defaced,76,mean,32.5366,0.9659
T1_to_SRI_defaced,76,median,35.7292,0.9785
T1_to_SRI_defaced,77,gaussian,31.492,0.9593
T1_to_SRI_defaced,77,mean,32.5409,0.9657
T1_to_SRI_defaced,77,median,35.8,0.9789
T1_to_SRI_defaced,78,gaussian,31.7569,0.9604
T1_to_SRI_defaced,78,mean,32.811,0.9669
T1_to_SRI_defaced,78,median,36.1806,0.9798
T1_to_SRI_defaced,79,gaussian,31.2064,0.9595
T1_to_SRI_defaced,79,mean,32.262,0.9661
T1_to_SRI_defaced,79,median,35.7797,0.9797
T1_to_SRI_defaced,80,gaussian,31.0265,0.9596
T1_to_SRI_defaced,80,mean,32.079,0.9662
T1_to_SRI_defaced,80,median,35.7523,0.9794
T1_to_SRI_defaced,81,gaussian,30.8204,0.9595
T1_to_SRI_defaced,81,mean,31.8723,0.9661
T1_to_SRI_defaced,81,median,35.36,0.9789
T1_to_SRI_defaced,82,gaussian,30.9874,0.9607
