subject,slice,chain_length,chain_code_preview,first_diff_preview,shape_number_preview,hull_vertices
T1CE_to_SRI_defaced,76,476,"[5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 1, 7, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",53
T1CE_to_SRI_defaced,77,476,"[5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 4, 5, 4]","[7, 0, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 0, 1, 7, 0, 0, 1, 7, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",55
T1CE_to_SRI_defaced,78,476,"[5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5, 4]","[7, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 1, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",58
T1_to_SRI_defaced,76,476,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 4, 5]","[7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 1, 7, 0, 0, 1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0]",56
T1_to_SRI_defaced,77,475,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5, 4]","[7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 0, 1, 7, 0, 1, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0]",60
T1_to_SRI_defaced,78,475,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5]","[7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",55
FL_to_SRI_defaced,76,475,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 5]","[7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0, 0]",59
FL_to_SRI_defaced,77,475,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 4]","[7, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",53
FL_to_SRI_defaced,78,474,"[5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4]","[7, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",55
T2_to_SRI_defaced,76,475,"[5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 5]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 1, 7, 0, 0, 1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",57
