subject,slice,label,energy,entropy,contrast,homogeneity,correlation,area,centroid_r,centroid_c,perimeter,circularity
T1CE_to_SRI_defaced,75,Enhancing,0.910225,1.235885,8.621522,0.925208,0.827902,4667.0,117.23,130.98,1062.7027,0.051931
T1CE_to_SRI_defaced,76,Enhancing,0.907723,1.283329,10.388819,0.922702,0.826386,4789.0,114.85,132.19,1110.5372,0.048796
T1CE_to_SRI_defaced,77,Enhancing,0.910534,1.250226,10.396976,0.924848,0.825447,4644.0,118.1,130.88,1071.1169,0.050866
T1CE_to_SRI_defaced,78,Enhancing,0.908278,1.2836,11.302194,0.923051,0.825304,4780.0,117.36,130.46,1058.2885,0.053633
T1CE_to_SRI_defaced,79,Enhancing,0.90736,1.295796,11.255529,0.9221,0.820489,4821.0,118.38,130.6,1085.5017,0.051415
T1_to_SRI_defaced,75,Necrotic,0.700602,3.576284,30.581261,0.788335,0.914704,16481.0,118.21,132.57,1503.3027,0.091643
T1_to_SRI_defaced,76,Necrotic,0.711919,3.470627,29.936255,0.793694,0.909244,15835.0,118.67,133.5,1487.7525,0.089901
T1_to_SRI_defaced,77,Necrotic,0.699714,3.576395,27.794783,0.787798,0.917039,16585.0,119.21,132.29,1386.5332,0.108409
T1_to_SRI_defaced,78,Necrotic,0.714685,3.41224,28.883035,0.796669,0.901794,15623.0,119.27,130.86,1633.6053,0.073566
T1_to_SRI_defaced,79,Necrotic,0.696741,3.614753,30.375603,0.784234,0.912709,16738.0,117.88,131.01,1432.7464,0.102465
FL_to_SRI_defaced,75,Edema,0.873337,1.710579,22.285343,0.895292,0.7583,6586.0,116.05,125.07,1503.9058,0.036592
FL_to_SRI_defaced,76,Edema,0.84437,2.031463,24.240175,0.876633,0.798088,8168.0,116.78,122.78,1671.5515,0.036736
FL_to_SRI_defaced,77,Edema,0.847075,1.997928,23.163457,0.878159,0.789574,8016.0,116.91,122.0,1656.9241,0.036691
FL_to_SRI_defaced,78,Edema,0.853926,1.919081,21.476304,0.881775,0.774586,7629.0,117.98,122.77,1652.9951,0.035086
FL_to_SRI_defaced,79,Edema,0.864777,1.79048,19.180418,0.889937,0.763326,7051.0,119.7,123.23,1559.9768,0.03641
T2_to_SRI_defaced,75,Other,0.772724,2.761676,19.942184,0.834712,0.871828,12167.0,116.3,134.66,1922.6124,0.041363
T2_to_SRI_defaced,76,Other,0.780394,2.686625,19.910185,0.838553,0.869514,11738.0,118.3,132.29,1918.1627,0.04009
T2_to_SRI_defaced,77,Other,0.776408,2.71734,19.684097,0.838019,0.868349,11942.0,118.81,132.82,1960.2277,0.039055
T2_to_SRI_defaced,78,Other,0.791549,2.533574,18.257566,0.848181,0.84679,11057.0,119.73,127.77,2015.2399,0.034213
